Account,fear_pnl,greed_pnl,neutral_pnl,total_pnl,style
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,102710.06749100001,1639363.095505,401309.434693,2143382.597689,Greed-favoring (momentum)
0x083384f897ee0f19899168e3b1bec365f52a9012,1238142.768956,236436.93428299998,125650.11674,1600229.819979,Fear-favoring (contrarian)
0xbaaaf6571ab7d571043ff1e313a9609a10637864,882790.3536360001,4.672458,57368.780126,940163.8062200001,Fear-favoring (contrarian)
0x513b8629fe877bb581bf244e326a047b249c4ff1,296044.39622,163047.664946,381330.49405,840422.555216,Fear-favoring (contrarian)
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,86752.889088,722210.9813250001,27116.682664,836080.553077,Greed-favoring (momentum)
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,463478.12234400003,116888.83736800001,97380.090931,677747.050643,Fear-favoring (contrarian)
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,-24239.752261,453595.31817600003,0.0,429355.56591500004,Greed-favoring (momentum)
0x430f09841d65beb3f27765503d0f850b8bce7713,5615.052102,351965.440509,58961.37973,416541.87234099995,Greed-favoring (momentum)
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,75037.11371800001,306664.249464,-2605.9564710000004,379095.406711,Greed-favoring (momentum)
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,343414.90621000004,21651.302288,-4526.698469,360539.51002900006,Fear-favoring (contrarian)
0x4f93fead39b70a1824f981a54d4e55b278e9f760,55220.388542,208241.157953,45514.323221,308975.86971600004,Greed-favoring (momentum)
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,274510.251146,36311.364425,-90302.553718,220519.06185299996,Fear-favoring (contrarian)
0x420ab45e0bd8863569a5efbb9c05d91f40624641,109109.360637,16102.56859,74293.663505,199505.592732,Fear-favoring (contrarian)
0x2c229d22b100a7beb69122eed721cee9b24011dd,15394.438559,110970.723359,42292.843076,168658.004994,Greed-favoring (momentum)
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,-12243.487425000001,139202.552615,5505.749364,132464.81455399998,Greed-favoring (momentum)
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,2804.41589,123774.52624400001,0.0,126578.94213400001,Greed-favoring (momentum)
0x6d6a4b953f202f8df5bed40692e7fd865318264a,4077.617669,103395.47817999999,1258.120923,108731.21677199999,Greed-favoring (momentum)
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,13945.728288,82890.12533099999,9467.021637,106302.87525599998,Greed-favoring (momentum)
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,-4527.9582900000005,103842.432763,4029.241688,103343.716161,Greed-favoring (momentum)
0xa520ded057a32086c40e7dd6ed4eb8efb82c00e0,-17680.962221,90581.07784700001,-53.631353999999995,72846.48427200002,Greed-favoring (momentum)
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,8751.751449,59093.868082,0.0,67845.619531,Greed-favoring (momentum)
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,-4567.0810280000005,57120.628976,12960.109958,65513.657906,Greed-favoring (momentum)
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,4367.1126730000005,41109.971474,8019.163096,53496.247243000005,Greed-favoring (momentum)
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,-5893.889851999999,65712.290491,-11933.080125,47885.32051400001,Greed-favoring (momentum)
0x8477e447846c758f5a675856001ea72298fd9cb5,11073.794334,32034.871924999996,808.3427170000001,43917.008976,Greed-favoring (momentum)
0xb899e522b5715391ae1d4f137653e7906c5e2115,18470.551893000003,0.0,4017.948928,22488.500821,Fear-favoring (contrarian)
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,14542.702934,58.44524,7157.683579,21758.831753,Fear-favoring (contrarian)
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,7259.374451,8036.124574000001,-395.0559780000001,14900.443047,Greed-favoring (momentum)
0x39cef799f8b69da1995852eea189df24eb5cae3c,-21494.473743999995,24998.14512,10953.24796,14456.919336000006,Greed-favoring (momentum)
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-57434.88466900001,27460.191787,-1228.907104,-31203.59998600001,Greed-favoring (momentum)
0x271b280974205ca63b716753467d5a371de622ab,46828.795402,-98226.64615900001,-19038.340561,-70436.19131800001,Fear-favoring (contrarian)
0x8170715b3b381dffb7062c0298972d4727a0a63b,164006.22599,-379237.811515,47610.460743999996,-167621.12478100002,Fear-favoring (contrarian)
